,month,hour,year,day,count,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day_of_week,vehicle_type,vehicle_encoded,hour_encoded,month_encoded,count_encoded
0,1,0,2019,1,342,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,scooter,0,0,0,0
1,1,0,2019,2,79,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,scooter,0,0,0,0
2,1,0,2019,3,16,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,scooter,0,0,0,0
3,1,0,2019,4,82,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,scooter,0,0,0,0
4,1,0,2019,5,188,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,scooter,0,0,0,0
5,1,0,2019,6,256,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,scooter,0,0,0,0
6,1,0,2019,7,119,2019-01-07,76,67,58,97,82,58,14,8,3,0,0,scooter,0,0,0,0
7,1,0,2019,8,129,2019-01-08,77,61,52,100,78,42,20,4,0,0,1,scooter,0,0,0,0
8,1,0,2019,9,119,2019-01-09,62,53,43,76,45,35,17,12,0,0,2,scooter,0,0,0,0
9,1,0,2019,10,142,2019-01-10,60,51,40,86,56,32,10,3,0,0,3,scooter,0,0,0,0
10,1,0,2019,11,137,2019-01-11,63,55,43,97,82,65,12,4,0,0,4,scooter,0,0,0,0
11,1,0,2019,12,192,2019-01-12,62,54,42,97,72,42,17,8,0,1,5,scooter,0,0,0,0
12,1,0,2019,13,227,2019-01-13,53,45,38,79,66,54,15,12,6,0,6,scooter,0,0,0,0
13,1,0,2019,14,57,2019-01-14,50,43,36,86,70,57,14,6,0,0,0,scooter,0,0,0,0
14,1,0,2019,15,77,2019-01-15,51,49,47,86,74,63,9,4,0,0,1,scooter,0,0,0,0
15,1,0,2019,16,127,2019-01-16,58,54,50,96,90,83,7,2,0,0,2,scooter,0,0,0,0
16,1,0,2019,17,100,2019-01-17,77,61,48,96,75,32,9,4,0,1,3,scooter,0,0,0,0
17,1,0,2019,18,149,2019-01-18,66,59,50,97,92,84,17,8,0,0,4,scooter,0,0,0,0
18,1,0,2019,19,457,2019-01-19,65,51,35,78,46,31,25,17,8,1,5,scooter,0,0,0,1
19,1,0,2019,20,295,2019-01-20,55,41,33,85,55,34,10,5,0,0,6,scooter,0,0,0,0
20,1,0,2019,21,213,2019-01-21,67,49,29,92,72,48,22,10,0,0,0,scooter,0,0,0,0
21,1,0,2019,22,143,2019-01-22,71,60,44,87,75,61,25,12,5,0,1,scooter,0,0,0,0
22,1,0,2019,23,53,2019-01-23,56,43,31,89,48,26,24,12,0,1,2,scooter,0,0,0,0
23,1,0,2019,24,134,2019-01-24,64,45,27,89,60,27,18,6,0,0,3,scooter,0,0,0,0
24,1,0,2019,25,176,2019-01-25,60,48,35,89,68,42,12,4,0,0,4,scooter,0,0,0,0
25,1,0,2019,26,306,2019-01-26,64,51,39,93,81,54,10,5,0,0,5,scooter,0,0,0,0
26,1,0,2019,27,211,2019-01-27,67,51,39,100,77,23,9,3,0,1,6,scooter,0,0,0,0
27,1,0,2019,28,91,2019-01-28,71,55,38,97,65,39,30,13,3,0,0,scooter,0,0,0,0
28,1,0,2019,29,80,2019-01-29,49,43,37,65,43,31,24,12,0,0,1,scooter,0,0,0,0
29,1,0,2019,30,112,2019-01-30,55,47,37,76,56,37,12,5,0,0,2,scooter,0,0,0,0
30,1,0,2019,31,119,2019-01-31,61,54,48,93,83,71,12,3,0,0,3,scooter,0,0,0,0
31,1,1,2019,1,428,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,scooter,0,0,0,0
32,1,1,2019,2,35,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,scooter,0,0,0,0
33,1,1,2019,3,24,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,scooter,0,0,0,0
34,1,1,2019,4,59,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,scooter,0,0,0,0
35,1,1,2019,5,136,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,scooter,0,0,0,0
