,date,maxtemp,atemp,mintemp,maxhum,ahum,minhum,maxwind,awind,minwind,prec,day,month,day_of_week,year
0,2019-01-01,46,41,36,97,83,76,21,11,0,0,1,1,1,2019
1,2019-01-02,41,38,37,97,92,79,15,10,8,1,2,1,2,2019
2,2019-01-03,52,40,31,97,85,53,13,7,0,1,3,1,3,2019
3,2019-01-04,67,46,30,96,66,31,10,3,0,1,4,1,4,2019
4,2019-01-05,73,49,32,93,66,24,13,4,0,0,5,1,5,2019
5,2019-01-06,75,53,34,100,84,53,17,7,0,0,6,1,6,2019
6,2019-01-07,76,67,58,97,82,58,14,8,3,0,7,1,0,2019
7,2019-01-08,77,61,52,100,78,42,20,4,0,0,8,1,1,2019
8,2019-01-09,62,53,43,76,45,35,17,12,0,0,9,1,2,2019
9,2019-01-10,60,51,40,86,56,32,10,3,0,0,10,1,3,2019
10,2019-01-11,63,55,43,97,82,65,12,4,0,0,11,1,4,2019
11,2019-01-12,62,54,42,97,72,42,17,8,0,1,12,1,5,2019
12,2019-01-13,53,45,38,79,66,54,15,12,6,0,13,1,6,2019
13,2019-01-14,50,43,36,86,70,57,14,6,0,0,14,1,0,2019
14,2019-01-15,51,49,47,86,74,63,9,4,0,0,15,1,1,2019
15,2019-01-16,58,54,50,96,90,83,7,2,0,0,16,1,2,2019
16,2019-01-17,77,61,48,96,75,32,9,4,0,1,17,1,3,2019
17,2019-01-18,66,59,50,97,92,84,17,8,0,0,18,1,4,2019
18,2019-01-19,65,51,35,78,46,31,25,17,8,1,19,1,5,2019
19,2019-01-20,55,41,33,85,55,34,10,5,0,0,20,1,6,2019
20,2019-01-21,67,49,29,92,72,48,22,10,0,0,21,1,0,2019
21,2019-01-22,71,60,44,87,75,61,25,12,5,0,22,1,1,2019
22,2019-01-23,56,43,31,89,48,26,24,12,0,1,23,1,2,2019
23,2019-01-24,64,45,27,89,60,27,18,6,0,0,24,1,3,2019
24,2019-01-25,60,48,35,89,68,42,12,4,0,0,25,1,4,2019
25,2019-01-26,64,51,39,93,81,54,10,5,0,0,26,1,5,2019
26,2019-01-27,67,51,39,100,77,23,9,3,0,1,27,1,6,2019
27,2019-01-28,71,55,38,97,65,39,30,13,3,0,28,1,0,2019
28,2019-01-29,49,43,37,65,43,31,24,12,0,0,29,1,1,2019
29,2019-01-30,55,47,37,76,56,37,12,5,0,0,30,1,2,2019
30,2019-01-31,61,54,48,93,83,71,12,3,0,0,31,1,3,2019
31,2019-02-01,67,60,57,97,90,76,8,3,0,1,1,2,4,2019
32,2019-02-02,67,62,60,97,90,81,8,5,0,0,2,2,5,2019
33,2019-02-03,76,67,62,100,87,64,17,9,3,1,3,2,6,2019
34,2019-02-04,75,69,66,96,87,71,15,8,5,0,4,2,0,2019
